Time	[IRS1]	[IRS1a]	[IRS1pS636_639]	[Akt]	[AktpT308]	[TSC2]	[TSC2pT1462]	[PRAS40]	[PRAS40pT246]	[S6K]	[S6KpT389]	[FourEBP1]	[FourEBP1pT37_46]	[_PI3K]	[pPI3K]	[pmTORC1]	[_mTORC1]	Values[Insulin]	Values[AA]	Values[_mTORC1cyt]	Values[mTORC1lys]	Values[_kIRS1In]	Values[_kIRS1Out]	Values[_kIRS1Out2]	Values[_kIRS1ActBasal]	Values[_kIRS1Act_km]	Values[_kIRS1Act_kcat]	Values[kIRS1Inact]	Values[_kIRS1Phos_km]	Values[_kIRS1Phos_kcat]	Values[_kPI3KPhos_km]	Values[_kPI3KPhos_kcat]	Values[kPI3KDephos]	Values[_kAktPhos_km]	Values[_kAktPhos_kcat]	Values[kAktDephos]	Values[_kAktIn]	Values[_kAktOut]	Values[_kTSC2Phos_km]	Values[_kTSC2Phos_kcat]	Values[_kTSC2Dephos]	Values[_kTSCIn]	Values[_kTSCOut]	Values[_kmTORC1PhosBasal]	Values[_kmTORC1Phos_km]	Values[_kmTORC1Phos_vmax]	Values[_kmTORC1Dephos_km]	Values[_kmTORC1Dephos_kcat]	Values[_kPras40In]	Values[_kPras40Out]	Values[_kPras40Phos_km]	Values[_kPras40Phos_kcat]	Values[kPras40Dephos]	Values[_kFourEBP1In]	Values[_kFourEBP1Out]	Values[_kFourEBP1Phos_km]	Values[_kFourEBP1Phos_kcat]	Values[kFourEBP1Dephos]	Values[_kS6KIn]	Values[_kS6KOut]	Values[_kS6KPhos_km]	Values[_kS6KPhos_kcat]	Values[kS6KDephos]	Values[_IRS1pS636_639_sf]	Values[_AktpT308_sf]	Values[_TSC2pT1462_sf]	Values[_PRAS40pT246_sf]	Values[_FourEBP1pT37_46_sf]	Values[_S6KpT389_sf]	Values[IRS1pS636_639_obs]	Values[AktpT308_obs]	Values[TSC2pT1462_obs]	Values[PRAS40pT246_obs]	Values[FourEBP1pT37_46_obs]	Values[S6KpT389_obs]	Values[mTORC1]	Values[TSC]
0.32	5.65799	2.32858	0.0909202	7.4869	0.154472	2.6528	7.28117	7.53288	0.102515	7.49442	0.145649	7.49442	0.145649	9.66714	0.432864	0.449076	0.650924	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0909202	0.154472	7.28117	0.102515	0.145649	0.145649	1	1
0.33	5.5707	2.36869	0.0910408	7.41917	0.157674	2.70732	7.20985	7.46753	0.102865	7.42728	0.148177	7.42728	0.148177	9.65027	0.449735	0.457425	0.642575	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0910408	0.157674	7.20985	0.102865	0.148177	0.148177	1	1
0.34	5.48556	2.4075	0.0911832	7.35201	0.16098	2.76055	7.13927	7.40281	0.103239	7.36077	0.150748	7.36077	0.150748	9.63321	0.46679	0.465651	0.634349	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0911832	0.16098	7.13927	0.103239	0.150748	0.150748	1	1
0.35	5.4025	2.44505	0.0913473	7.28541	0.164389	2.81253	7.06943	7.3387	0.103637	7.29488	0.153361	7.29488	0.153361	9.61598	0.484016	0.473758	0.626242	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0913473	0.164389	7.06943	0.103637	0.153361	0.153361	1	1
0.36	5.32147	2.48136	0.0915331	7.21938	0.1679	2.86327	7.00031	7.27521	0.10406	7.22961	0.156013	7.22961	0.156013	9.5986	0.5014	0.481748	0.618252	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0915331	0.1679	7.00031	0.10406	0.156013	0.156013	1	1
0.37	5.24241	2.51647	0.0917406	7.1539	0.171513	2.91279	6.93191	7.21232	0.104508	7.16494	0.158704	7.16494	0.158704	9.58107	0.518929	0.489622	0.610378	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0917406	0.171513	6.93191	0.104508	0.158704	0.158704	1	1
0.38	5.16529	2.55042	0.0919697	7.08897	0.175225	2.96111	6.86422	7.15004	0.104982	7.10089	0.161432	7.10089	0.161432	9.56341	0.53659	0.497382	0.602618	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0919697	0.175225	6.86422	0.104982	0.161432	0.161432	1	1
0.39	5.09004	2.58322	0.0922205	7.0246	0.179037	3.00824	6.79724	7.08835	0.105483	7.03743	0.164195	7.03743	0.164195	9.54563	0.554373	0.505031	0.594969	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0922205	0.179037	6.79724	0.105483	0.164195	0.164195	1	1
0.4	5.01662	2.61491	0.0924927	6.96076	0.182945	3.05421	6.73096	7.02724	0.106011	6.97458	0.166991	6.97458	0.166991	9.52774	0.572264	0.512571	0.587429	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0924927	0.182945	6.73096	0.106011	0.166991	0.166991	1	1
0.41	4.94498	2.64552	0.0927865	6.89747	0.18695	3.09903	6.66538	6.96672	0.106566	6.91231	0.16982	6.91231	0.16982	9.50975	0.590254	0.520003	0.579997	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0927865	0.18695	6.66538	0.106566	0.16982	0.16982	1	1
